name,years_of_exp,city,language,cost_per_hr,phone_no
Dr. Anjali Singh,10,Delhi,Hindi,1500,9876543210
Dr. Rajesh Kapoor,8,Mumbai,English,2000,9876543211
Dr. Priya Sharma,5,Bangalore,English,1800,9876543212
Dr. Aarav Patel,12,Chennai,Tamil,1600,9876543213
Dr. Neha Gupta,7,Hyderabad,English,1700,9876543214
Dr. Mohan Das,15,Delhi,English,2200,9876543215
Dr. Deepa Menon,9,Mumbai,English,1900,9876543216
Dr. Sameer Khan,6,Delhi,Hindi,1400,9876543217
Dr. Nisha Joshi,11,Bangalore,English,2100,9876543218
Dr. Rakesh Verma,4,Kolkata,Bengali,1700,9876543219
Dr. Shivani Reddy,13,Hyderabad,English,2000,9876543220
Dr. Suresh Kumar,8,Chennai,Tamil,1500,9876543221
Dr. Vandana Singh,10,Delhi,English,1800,9876543222
Dr. Arjun Desai,6,Mumbai,English,1600,9876543223
Dr. Ananya Rao,12,Bangalore,English,1900,9876543224
Dr. Vikram Singh,7,Chennai,English,1700,9876543225
Dr. Meera Iyer,14,Hyderabad,English,2100,9876543226
Dr. Rohan Patel,9,Delhi,Hindi,1300,9876543227
Dr. Natasha Mehra,5,Mumbai,English,1700,9876543228
Dr. Kiran Nair,11,Bangalore,English,2000,9876543229
Dr. Rajeshwari Rao,4,Kolkata,Bengali,1600,9876543230
Dr. Vivek Menon,12,Hyderabad,English,2200,9876543231
Dr. Shruti Das,8,Chennai,English,1800,9876543232
Dr. Abhishek Kumar,10,Delhi,English,1900,9876543233
Dr. Anusha Singh,6,Mumbai,English,1700,9876543234
Dr. Rahul Sharma,13,Bangalore,English,2100,9876543235
Dr. Priyanka Patel,7,Chennai,Tamil,1500,9876543236
Dr. Sanjay Reddy,9,Hyderabad,English,2000,9876543237
Dr. Devika Iyer,14,Delhi,English,2200,9876543238
Dr. Arun Deshpande,5,Mumbai,English,1600,9876543239
Dr. Smita Verma,11,Bangalore,English,1900,9876543240
Dr. Rohit Kapoor,8,Chennai,English,1700,9876543241
Dr. Mira Menon,12,Hyderabad,English,2100,9876543242
Dr. Naveen Sharma,9,Delhi,Hindi,1400,9876543243
Dr. Natasha Singh,4,Mumbai,English,1600,9876543244
Dr. Karthik Iyer,10,Bangalore,English,2000,9876543245
Dr. Reshma Rao,6,Chennai,English,1800,9876543246
Dr. Abhay Kumar,13,Hyderabad,English,2200,9876543247
Dr. Ishita Das,7,Delhi,English,1900,9876543248
Dr. Prakash Singh,5,Mumbai,English,1700,9876543249
Dr. Neha Nair,11,Bangalore,English,2100,9876543250
Dr. Rishi Joshi,8,Chennai,Tamil,1500,9876543251
Dr. Arpita Reddy,14,Hyderabad,English,2000,9876543252
Dr. Kunal Iyer,9,Delhi,Hindi,1400,9876543253
Dr. Ananya Singh,4,Mumbai,English,1600,9876543254
Dr. Sameer Kapoor,10,Bangalore,English,2000,9876543255
Dr. Diya Rao,6,Chennai,English,1800,9876543256
Dr. Raghav Menon,12,Hyderabad,English,2200,9876543257
Dr. Nehal Sharma,7,Delhi,English,1900,9876543258
Dr. Alok Desai,5,Mumbai,English,1700,9876543259
Dr. Anjali Verma,11,Bangalore,English,2100,9876543260
Dr. Rajeev Reddy,8,Chennai,Tamil,1500,9876543261
Dr. Sneha Iyer,14,Hyderabad,English,2000,9876543262
Dr. Harish Kumar,9,Delhi,Hindi,1400,9876543263
Dr. Anita Singh,4,Mumbai,English,1600,9876543264
Dr. Sunil Nair,10,Bangalore,English,2000,9876543265
Dr. Arjun Rao,6,Chennai,English,1800,9876543266
Dr. Shweta Menon,12,Hyderabad,English,2200,9876543267
Dr. Karan Sharma,7,Delhi,English,1900,9876543268
Dr. Priya Deshpande,5,Mumbai,English,1700,9876543269
Dr. Vikas Nair,11,Bangalore,English,2100,9876543270
Dr. Pooja Joshi,8,Chennai,Tamil,1500,9876543271
Dr. Rohan Reddy,14,Hyderabad,English,2000,9876543272
Dr. Nandini Iyer,9,Delhi,Hindi,1400,9876543273
Dr. Siddharth Singh,4,Mumbai,English,1600,9876543274
Dr. Anu Menon,10,Bangalore,English,2000,9876543275
Dr. Viren Rao,6,Chennai,English,1800,9876543276
Dr. Arnav Menon,12,Hyderabad,English,2200,9876543277
Dr. Alisha Sharma,7,Delhi,English,1900,9876543278
